Mã sản phẩm,Tên sản phẩm,Danh mục,Thương hiệu,Xuất xứ,Giá gốc,Giá bán hiện tại,Giảm giá,Định lượng,Số lượng đã bán,Số lượng hàng tồn kho,Số lượt xem sản phẩm,Điểm đánh giá,Số lượng đánh giá,Mùa phổ biến,Giá trị định lượng,Đơn vị,Định lượng (g),Định lượng (ml),Loại sản phẩm
100030009374,Dầu Ăn Cooking Oil Nutri Plus Tường An (Combo 2 can),Nhu yếu phẩm,VẠN CÁT,Việt Nam,156000.0,124000.0,0.21,2l,76,496,370,4.9,21,4 mùa,2.0,l,,2000.0,lỏng
100030007764,Dầu Ăn Đậu Nành Tường An (1 Chai),Nhu yếu phẩm,VẠN CÁT,Việt Nam,75000.0,65000.0,0.13,1l,146,280,370,4.6,24,4 mùa,1.0,l,,1000.0,lỏng
100030009373,Dầu Ăn Đậu Nành Tường An (Combo 3 chai),Nhu yếu phẩm,VẠN CÁT,Việt Nam,225000.0,179000.0,0.2,3l,146,217,434,4.6,29,4 mùa,3.0,l,,3000.0,lỏng
100030009608,Dầu Ăn Đậu Nành Tường An (Thùng 12 chai),Nhu yếu phẩm,VẠN CÁT,Việt Nam,900000.0,660000.0,0.27,12l,146,382,434,4.0,36,4 mùa,12.0,l,,12000.0,lỏng
100040007870,Mì Chay Rong Biển - Miliket (Thùng 30 gói),Nhu yếu phẩm,Miliket,Việt Nam,210000.0,185000.0,0.12,2100g,12251,251,40538,4.2,15,4 mùa,2100.0,g,2100.0,,rắn
100040007705,Mì Chay Rong Biển - Miliket (Combo 3 gói),Nhu yếu phẩm,Miliket,Việt Nam,30000.0,21000.0,0.3,210g,12251,354,22153,4.1,40,4 mùa,210.0,g,210.0,,rắn
100040007706,Mì Chay Rong Biển - Miliket (Combo 5 gói),Nhu yếu phẩm,Miliket,Việt Nam,37500.0,35000.0,0.07,350g,12251,182,36226,4.6,30,4 mùa,350.0,g,350.0,,rắn
100040007871,Mì Chay Rong Biển - Miliket (Combo 10 gói),Nhu yếu phẩm,Miliket,Việt Nam,75000.0,69000.0,0.08,700g,12251,336,38977,4.5,22,4 mùa,700.0,g,700.0,,rắn
100030000029,Đường Thốt Nốt Truyền Thống An Giang Nguyên Chất 100% - Đặc Sản Ngon Lành,Nhu yếu phẩm,Đặc Sản Ngon Lành,An Giang,180000.0,150000.0,0.17,850g,3331,401,10983,4.2,22,4 mùa,850.0,g,850.0,,rắn
100020000553,Mật Hoa Dừa Nguyên Chất - SokFarm,Nhu yếu phẩm,Sokfarm,Trà Vinh,143000.0,132000.0,0.08,250g,258,283,547,4.8,20,4 mùa,250.0,g,250.0,,rắn
100020010875,Cà Phê Trứng Hòa Tan Hà Nội,Cà phê,UFO Coffee,Hà Nội,75000.0,55000.0,0.27,128g,751,111,2293,4.3,5,Thu,128.0,g,128.0,,rắn
100020010871,Cà Phê Sữa Đá Hòa Tan Sài Gòn,Cà phê,UFO Coffee,Sài Gòn,75000.0,49000.0,0.35,128g,683,334,1932,4.2,8,4 mùa,128.0,g,128.0,,rắn
100020010818,Cà Phê Muối Hoà Tan Huế,Cà phê,UFO Coffee,Huế,60000.0,50000.0,0.17,128g,1249,247,3043,4.2,29,4 mùa,128.0,g,128.0,,rắn
100020010819,Cà Phê Muối Hoà Tan Huế (Combo 3 hộp),Cà phê,UFO Coffee,Huế,195000.0,145000.0,0.2,384g,2260,281,5383,4.6,28,4 mùa,384.0,g,384.0,,rắn
100020010152,Thùng 24 Ly Trà Sữa (16 Oolong Nướng + 8 Hồng Trà Sữa),Trà Sữa,Maloca,Thái Nguyên,360000.0,310000.0,0.14,15000g,705,440,2094,4.8,19,Hè,15000.0,g,15000.0,,rắn
100020010173,Combo 12 Ly Trà Sữa (8 Oolong Nướng + 4 Hồng Trà Sữa),Trà Sữa,Maloca,Thái Nguyên,240000.0,155000.0,0.35,12000g,510,500,1450,4.8,35,Hè,12000.0,g,12000.0,,rắn
100020010080,Combo 4 Ly Trà Sữa Oolong + 2 Ly Hồng Trà Sữa,Trà Sữa,Maloca,Thái Nguyên,120000.0,90000.0,0.25,9000g,361,303,1238,4.3,45,Hè,9000.0,g,9000.0,,rắn
100020009911,Trà Thái Đỏ Túi Lọc Savo,Trà,Savo,Thái Nguyên,65000.0,57000.0,0.12,300g,209,286,831,4.3,38,Hè,300.0,g,300.0,,rắn
100020009910,Trà Thái Xanh Túi Lọc Savo,Trà,Savo,Thái Nguyên,100000.0,89000.0,0.11,300g,351,119,1437,4.9,6,Hè,300.0,g,300.0,,rắn
